From	To
P17707	262
O76082	6584
P51606	5973
Q9H244	64805
P06746	5423
O95477	19
P22888	3973
P49419	501
P35498	6323
Q9H3S4	27010
Q02218	4967
P15692	7422
P20132	10993
P49916	3980
Q9UJ68	4482
P08588	153
O76074	8654
P56937	51478
P45381	443
Q8WTV0	949
P14061	3292
O15374	9122
P18858	3978
Q13564	8883
Q09428	6833
P56556	4700
P23381	7453
P06858	4023
P05121	5054
P09917	240
P00491	4860
Q9Y478	5564
O76054	23541
P08473	4311
P14207	2350
P01008	462
P05089	383
P30518	554
Q13258	5729
P31153	4144
Q16795	4704
P00480	5009
P02753	5950
Q99714	3028
P00918	760
P35520	102724560
P35520	875
P49286	4544
P00374	1719
P00395	4512
P02766	7276
P25098	156
P05093	1586
P20648	495
Q96I99	8801
P63098	5534
P43116	5732
P35968	3791
P04070	5624
P23945	2492
Q9GZT4	63826
P60880	6616
P08246	1991
P02794	2495
P50416	1374
Q00266	4143
P51659	3295
P13196	211
P19793	6256
P0DP23	801
P0DP23	805
P0DP23	808
P55017	6559
P04083	301
P04181	4942
P00338	3939
P22303	43
P31749	207
P30988	799
O60669	9194
P29466	834
Q96RQ3	56922
Q96A70	113451
O15427	9123
Q9UIC8	51451
P37023	94
P30939	3355
O95665	23620
O60706	10060
Q16718	4698
Q16739	7357
O43497	8913
P16473	7253
P41252	3376
Q9Y5K3	9468
P35348	148
P03886	4535
P41180	846
O94788	8854
P48039	4543
P20701	3683
P28329	1103
P04424	435
O60391	116444
P03905	4538
Q12791	3778
Q9NWM0	54498
Q04609	2346
P18089	151
P04035	3156
Q14534	6713
O43772	788
P40925	4190
P12235	291
Q9Y617	29968
P11586	4522
P52895	1646
P18031	5770
Q13085	31
Q8TDS4	338442
P42261	2890
Q8TCU5	116443
P14784	3560
P19235	2057
P03891	4536
P47712	5321
P17181	3454
P53985	6566
P51787	3784
P20138	945
O95169	4714
Q13131	5562
Q16515	40
O14842	2864
P05230	2246
P14902	3620
P07550	154
P62942	2280
O95342	8647
Q13946	5150
P12314	2209
Q03405	5329
O14556	26330
Q99707	4548
P09622	1738
Q15822	1135
P53004	644
Q9UI09	55967
P78540	384
Q9UBK8	4552
O94760	23576
Q9P2J5	51520
P14324	2224
P22033	4594
P40926	4191
P33527	4363
Q92731	2100
Q99062	1441
Q9UHC9	29881
Q9Y2Q3	373156
P21266	2947
P09211	2950
P78417	9446
P07203	2876
O43708	2954
O94925	2744
Q16099	2900
P42262	2891
P48058	2893
P42263	2892
O43451	8972
P07947	7525
P06239	3932
P42081	942
P33681	941
P17787	1141
P07333	1436
P27487	1803
P01031	727
P08069	3480
O60895	10266
P11086	5409
Q02750	5604
P05771	5579
P29972	358
P22102	2618
Q06520	6822
P26358	1786
P00749	5328
O95237	9227
O75015	2215
P20810	831
P35558	5105
P01023	2
P51681	1234
P05451	5967
Q99519	4758
P08581	4233
P62993	2885
P61073	7852
P03956	4312
P10997	3375
P02652	336
P28482	5594
P29274	135
P02763	5004
P01574	3456
P25116	2149
P08174	1604
P27169	5444
O75891	10840
P02778	3627
P00156	4519
P07339	1509
P07225	5627
P50406	3362
P20333	7133
P34913	2053
O75469	8856
P49327	2194
P45452	4322
Q9Y5N1	11255
P17936	3486
P13501	6352
P35568	3667
P04062	2629
P29074	5775
Q9BYF1	59272
P32418	6546
P56817	23621
Q99497	11315
Q7L0J3	9900
P02788	4057
Q16853	8639
P31930	7384
P29965	959
P99999	54205
P08311	1511
Q13464	6093
Q16539	1432
P03951	2160
Q8NER1	7442
P24385	595
P08183	5243
P21980	7052
P04629	4914
P05412	3725
P15502	2006
P43005	6505
P11166	6513
Q13231	1118
P27361	5595
O60858	10206
Q9UNQ0	9429
P16581	6401
P05164	4353
O60733	8398
P15144	290
Q15111	5334
P06493	983
P80188	3934
P00750	5327
P11413	2539
P23297	6271
Q9UM07	23569
P17302	2697
P21589	4907
P53779	5602
P11021	3309
P48651	9791
P11137	4133
P15309	55
P19367	3098
P63000	5879
P16070	960
P19320	7412
P08254	4314
Q16873	4056
P07900	3320
P14210	3082
O75762	8989
P16870	1363
Q08345	780
P08697	5345
P01100	2353
P17252	5578
P36969	2879
P19438	7132
P02774	2638
P48061	6387
O14920	3551
P05106	3690
P98170	331
O60603	7097
P45844	9619
P78559	4130
P31751	208
P63104	7534
P14410	6476
P04271	6285
P13726	2152
P30086	5037
P22894	4317
P14735	3416
P15559	1728
Q08257	1429
O15439	10257
P28161	2946
P08842	412
P06744	2821
P08100	6010
P22455	2264
P80511	6283
P05113	3567
P68400	1457
P02743	325
P31939	471
Q10588	683
Q9P2W7	27087
O75874	3417
P68363	10376
Q06187	695
Q08499	5144
Q9NP99	54210
P43403	7535
P43405	6850
P17931	3958
P68371	10383
P49137	9261
P36959	2766
P68366	7277
P30405	10105
P08631	3055
P50579	10988
P35030	5646
Q92876	5653
P55055	7376
P06132	7389
P14555	5320
P25774	1520
Q9Y286	27036
Q9Y5Y6	6768
P00751	629
P30305	994
P53355	1612
Q9HAN9	64802
P49759	1195
Q16775	3029
P55210	840
P00746	1675
P52732	3832
P37173	7048
Q05315	1178
P08238	3326
P51161	2172
Q16881	7296
O00408	5138
P00736	715
P02745	712
P08637	2214
P12318	2212
P11047	3915
P25391	284217
P27797	811
Q07954	4035
P13727	5553
P32927	1439
P34741	6383
P06400	5925
P29120	5122
Q16270	3490
P02461	1281
P11362	2260
P22607	2261
P07711	1514
P23763	6843
P63027	6844
Q01362	2206
P35237	5269
P09486	6678
P48147	5550
Q6ZQY3	339896
O14939	5338
P06276	590
Q13393	5337
Q9HBH1	64146
P50750	1025
P11802	1019
P21452	6865
Q7L266	80150
Q07075	2028
Q9H4Y5	119391
Q9NY59	55512
Q6IB77	10249
Q9ULC6	29943
Q9Y2J8	11240
P67775	5515
P23284	5479
P45877	5480
Q96I59	79731
P36544	1139
P36544	89832
P49721	5690
P10635	1565
P16435	5447
Q13547	3065
O15379	8841
Q16665	3091
P43115	5733
P20292	241
O00459	5296
Q92569	8503
P42345	2475
P41231	5029
P08865	3921
O14672	102
O60674	3717
Q13093	7941
P43490	10135
Q05655	5580
P24394	3566
P05177	1544
P35225	3596
P03952	3818
P32320	978
Q01726	4157
O14746	7015
P05155	710
Q5T4S7	23352
Q96EB6	23411
P07237	5034
P21796	7416
P10147	6348
Q15185	10728
P04141	1437
P42768	7454
P08684	1576
P23141	1066
P11712	1559
P08887	3570
P51687	6821
P80075	6355
P06703	6277
Q6UWP2	79154
P15531	4830
Q16698	1666
O76083	5152
P49763	5228
Q9Y691	10242
P15086	1360
P22392	4831
P07998	6035
Q03721	3749
Q16769	25797
P78368	1455
P30291	7465
P07384	823
Q13285	2516
Q9NXA8	23408
P35625	7078
Q86VB7	9332
P48357	3953
O96017	11200
O14757	1111
P05305	1906
P41597	729230
Q9NNW7	10587
P51671	6356
P05067	351
Q96BI3	51107
Q9NZ42	55851
Q13443	8754
P43235	1513
P55786	9520
Q92843	599
P50052	186
Q02156	5581
P04792	3315
O14793	2660
Q15116	5133
Q99527	2852
Q9H6X2	84168
P02647	335
Q14790	841
Q14956	10457
O43174	1592
P04439	3105
P40933	3600
P01308	3630
P01127	5155
P15391	930
P53420	1286
P15941	4582
P15169	1369
Q07820	4170
P49674	1454
P30411	624
Q00613	3297
Q96QU6	84680
P11597	1071
O14788	8600
Q9NR97	51311
P56524	9759
P30874	6752
P32745	6753
P33261	1557
P05108	1583
P22309	54658
P25024	3577
P52209	5226
P05556	3688
P06756	3685
Q9NRF9	54107
P11717	3482
Q12908	6555
Q8TCC7	9376
P19652	5005
P09237	4316
P50281	4323
Q9Y5R2	10893
P11474	2101
Q8NEB9	5289
Q08462	108
Q13526	5300
P48552	8204
P53350	5347
P30153	5518
P78536	6868
P17612	5566
P13051	7374
P45984	5601
Q99933	573
P11142	3312
Q13133	10062
P36897	7046
Q9UQF2	9479
P42892	1889
P62136	5499
P21281	526
Q15078	8851
P61313	6138
O75460	2081
P25705	498
P06576	506
P60174	7167
Q14994	9970
Q15118	5163
P28072	5694
P09466	5047
Q9Y6M4	1456
Q494W8	89832
P00414	4514
P20674	9377
P10176	1351
P14854	1340
P04054	5319
Q13627	1859
P41235	3172
P98155	7436
P0CG48	7316
O00141	6446
P14920	1610
P29597	7297
P08758	308
P49862	5650
P06396	2934
Q14494	4779
P23528	1072
O75116	9475
P06731	1048
Q08209	5530
P15151	5817
P61160	10097
P13639	1938
P05187	250
P07948	4067
P78362	6733
Q8IU85	57118
O00182	3965
P09848	3938
Q9NWZ3	51135
Q92793	1387
O14792	9957
O43612	3060
Q15796	4087
P04179	6648
O75390	1431
P08670	7431
P20472	5816
P22694	5567
Q8IWL2	653509
P11226	4153
P51149	7879
P04053	1791
P17600	6853
P63096	2770
P20645	4074
Q99798	50
P10600	7043
Q14643	3708
P78352	1742
P48735	3418
P68104	1915
P62837	7322
P20339	5868
P50897	5538
Q9NTG7	23410
P29323	2048
P09104	2026
P62166	23413
P62491	8766
P62826	5901
P0CG47	7314
O14874	10295
P55072	7415
Q92993	10524
O60493	8724
P55789	2671
P78330	5723
Q01082	6711
Q13838	7919
P13611	1462
P60953	998
Q9BVM4	87769
Q96QT4	54822
Q9UL54	9344
Q9Y6B6	51128
P41091	1968
Q9Y646	10404
P30041	9588
P31327	1373
P00748	2161
P54219	6570
P0C0L4	720
P0C0L4	721
P0C0L5	100293534
P0C0L5	721
Q9UQQ2	10019
Q14721	3745
P28065	5698
P42685	2444
P11274	613
P36507	5605
P31639	6524
Q14145	9817
Q15303	2066
Q7RTT9	222962
P48065	6539
P02795	4502
P13762	3126
Q30154	3127
Q9HAB3	79581
Q13315	472
O00264	10857
P04839	1536
P14598	653361
P15153	5880
Q9H2S1	3781
P54646	5563
Q14571	3709
Q14573	3710
Q9NP56	27115
O95263	8622
P15336	1386
P18848	468
P18850	22926
Q07021	708
Q6UX15	143903
P98066	7130
P10599	7295
P60709	60
P63261	71
P05090	347
Q15493	9104
Q92736	6262
P28907	952
P17676	1051
P60484	5728
P49908	6414
Q04206	5970
P09936	7345
P25713	4504
Q8TDU6	151306
Q99571	5025
P06733	2023
P29590	5371
O14618	9973
Q14978	9221
O60502	10724
Q06830	5052
O43614	3062
Q8NBP7	255738
Q99828	10519
P13693	7178
P28676	25801
P0DP24	801
P0DP24	805
P0DP24	808
P0DP25	801
P0DP25	805
P0DP25	808
P22676	794
Q86UW7	93664
P02655	344
P02656	345
P29372	4350
P05109	6279
P10809	3329
P22626	3181
P23246	6421
P31948	10963
P60842	1973
P04155	7031
Q96RI0	9002
P06702	6280
O15350	7161
P12644	652
Q99623	11331
P53805	1827
P38936	1026
Q14457	8678
P54652	3306
P61978	3190
P34932	3308
Q92598	10808
P60903	6281
P09493	7168
P54578	9097
P12004	5111
P02748	735
P08603	3075
P05156	3426
P10909	1191
P45973	23468
P36955	5176
P05160	2165
Q14624	3700
P02533	3861
P01011	12
P51693	333
Q06481	334
Q92945	8570
P48047	539
Q5SSJ5	50809
P06748	4869
P62753	6194
Q07955	6426
Q02083	27163
Q9HBA0	59341
P35579	4627
P31391	6754
P22897	4360
Q9UHD2	29110
Q13470	8711
Q06418	7301
Q2M2I8	22848
Q96RR4	10645
O14578	11113
P49760	1196
Q9UIK4	23604
P19525	5610
Q9P2K8	440275
P21709	2041
P54764	2043
P07332	2242
P49840	2931
P14616	3645
P51617	3654
P46734	5606
Q02779	4294
Q12852	7786
Q13164	5598
Q8IW41	8550
Q7KZI7	2011
P27448	4140
Q96L34	57787
O75914	5063
Q9NYY3	10769
Q13546	8737
P08922	6098
O75716	8576
P01350	2520
Q15910	2146
Q8IXJ6	22933
P35232	5245
Q86YN6	133522
P51575	5023
Q9UBL9	22953
P56373	5024
Q93086	5026
O15547	9127
Q99572	5027
P47900	5028
P51582	5030
Q9Y6H6	10008
Q9UQ05	23415
Q96L42	131096
P04114	338
P52824	1609
Q13574	8525
Q13488	10312
P61421	9114
O15342	8992
P36543	529
Q9UI12	51606
P49662	837
P20702	3687
P23634	493
P16278	2720
P0CG30	653689
Q9UBC3	1789
Q9NRA0	56848
P21802	2263
P12259	2153
P00742	2159
P02671	2243
P10646	7035
P05120	5055
P07359	2811
P02776	5196
P07204	7056
P16109	6403
Q9UNN8	10544
P07355	302
P02749	350
Q96IY4	1361
P40238	4352
P61769	567
P15813	912
P07202	7173
Q13509	10381
Q9BUF5	84617
P54762	2047
Q9BQB4	50964
P42357	3034
P21695	2819
P08514	3674
P48048	3758
P02818	632
P12931	6714
P21462	2357
P20594	4882
P13945	155
P10153	6036
P04745	276
P04745	277
P04745	278
P04075	226
P17342	4883
Q02763	7010
Q5NUL3	338557
Q96RD7	24145
P12883	4625
P51003	10914
P13498	1535
Q16558	3779
P36956	6720
P08493	4256
P30626	6717
Q99653	11261
Q9NZD4	51327
Q15238	5673
Q13219	5069
P81605	117159
P63252	3759
P00451	2157
Q9UBM7	1717
P10515	1737
P00492	3251
P31358	1043
P13688	634
P25021	3274
P08700	3562
Q9H3N8	59340
P36888	2322
O43175	26227
P20273	933
Q15046	3735
P54577	8565
P55157	4547
Q15758	6510
P10745	5949
P00915	759
P07766	916
P49915	8833
P16471	5618
O00555	773
P48029	6535
Q02127	1723
P35367	3269
P13612	3676
Q9UKU7	27034
O43776	4677
P15056	673
Q9NS40	90134
P06729	914
Q9H015	6583
P16234	5156
Q7Z4W1	51181
P51692	6777
P30044	25824
P12724	6037
P35270	6697
P24158	5657
P11387	7150
O14965	6790
Q9Y275	10673
Q00987	4193
Q9Y6L6	10599
P35557	2645
P01374	4049
P14625	7184
Q96C86	28960
Q13370	5140
P11309	5292
Q08881	3702
P41240	1445
Q04759	5588
P09871	716
P23526	191
P07477	5644
O60911	1515
P31994	2213
P68133	58
P31785	3561
P07942	3912
P01906	3118
Q96KS0	112398
Q9GZT9	54583
P49336	1024
Q07973	1591
Q9BXA5	56670
P78527	5591
Q9Y6K9	8517
P51686	10803
P26196	1656
Q92831	8850
Q9HB21	59338
Q9Y689	26225
Q13233	4214
P09693	917
P20963	919
Q9Y6Q6	8792
Q07011	3604
P25963	4792
P28908	943
P01730	920
P52333	3718
P17813	2022
P25092	2984
Q16706	4124
Q12884	2191
P35408	5734
Q8WUI4	51564
P35218	763
P23280	765
Q9H239	79148
Q9UNI1	1990
P24666	52
P62829	9349
P60900	5687
Q9HCD5	57727
P01116	3845
P16112	176
P60981	11034
Q12866	10461
Q96GR2	23205
O94768	9262
Q9BY32	3704
P13929	2027
P29508	6317
P09382	3956
P20823	6927
P19883	10468
Q92830	2648
P00973	4938
Q9BZZ2	6614
Q15382	6009
Q99873	3276
O00187	10747
P22001	3738
P40306	5699
P28062	5696
P79483	3125
P08686	1589
O95644	4772
P19878	4688
Q15080	4689
O95718	2103
Q96G91	5032
Q9HC97	2859
O75880	6341
P21453	1901
Q96DB2	79885
O14958	845
P31415	844
Q06323	5720
Q8TCT9	81502
Q9UJU2	51176
P39748	2237
P00846	4508
P61604	3336
Q969G3	6605
P06753	7170
P04264	3848
P13645	3858
P20851	725
Q9ULY5	26253
Q14103	3184
P39019	6223
P17844	1655
Q9HC29	64127
Q92911	6528
Q13188	6788
Q15208	11329
Q7L7X3	57551
Q9BXA7	83942
P30530	558
P51451	640
Q92918	11184
Q8IVH8	8491
Q8N4C8	50488
Q13177	5062
Q16513	5586
O43353	8767
P51679	1233
Q9Y6K1	1788
P02790	3263
P21860	2065
Q05209	5782
P29350	5777
P21549	189
P13647	3852
P51172	6339
Q12882	1806
P16455	4255
P39900	4321
P42126	1632
Q02880	7155
P08729	3855
Q9NWT6	55662
Q03403	7032
P0CG29	2953
Q96I15	51540
P31025	3933
P56537	3692
Q9NRH2	54861
O43246	6545
Q9NS75	57105
P00367	2746
O14727	317
Q14626	3590
P38484	3460
O14561	4706
P15509	1438
P00966	445
Q8NFJ5	9052
Q9Y271	10800
P15260	3459
P49448	2747
P17812	1503
P49888	6783
P27824	821
P26951	3563
P23946	1215
Q4U2R8	9356
P24941	1017
P04183	7083
Q96RI1	9971
P22749	10578
P05154	5104
P21912	6390
Q2M3G0	340273
Q06609	5888
P27707	1633
Q05397	5747
Q01064	5153
P21926	928
Q92934	572
O14763	8795
P06734	2208
Q07817	598
P04798	1543
P24462	100861540
P24462	1551
P63092	2778
Q13362	5527
P33981	7272
Q8IVS2	27349
P62913	6135
Q9UKQ2	10863
Q9NPH2	51477
P49411	7284
O75330	3161
Q14542	3177
Q9UP52	7036
Q9Y2D1	22809
P62736	59
O75340	10016
P04279	6406
Q969S8	83933
P14866	3191
Q6FHJ7	6424
P27635	6134
Q16518	6121
O75533	23451
Q9NSY1	55589
P29320	2042
O15197	2051
O95835	9113
Q16584	4296
Q14680	9833
O00750	5287
P40259	974
O14980	7514
Q92800	2145
Q02223	608
Q13423	23530
P26439	3284
P07195	3945
Q02809	5351
Q12809	3757
Q16647	5740
Q04828	1645
P30968	2798
P10826	5915
P15291	2683
Q9Y666	10723
Q99624	10991
Q00796	6652
P23921	6240
P08620	2249
P19801	26
P48551	3455
Q96Q40	65061
P30872	6751
P30049	513
P43155	1384
Q9P0J0	51079
P68871	3043
P49788	5918
P36896	91
Q14654	3767
P11388	7153
Q9NUB1	84532
P40261	4837
P32929	1491
P18283	2877
Q14833	2914
P29317	1969
P50225	6817
P47929	3963
P47929	653499
O94956	11309
Q16678	1545
P22061	5110
P48745	4856
Q9UKM7	11253
Q9BZX2	7371
Q9BY41	55869
P51512	4325
P49789	2272
P36952	5268
P24557	6916
P50613	1022
O00469	5352
P19971	1890
Q6NS38	121642
Q8IVL5	55214
Q00534	1021
Q96Q83	221120
P08263	2938
Q9HBH5	57665
P62714	5516
Q16206	10495
Q16790	768
P16422	4072
P31350	6241
P54760	2050
P48060	11010
Q9BUP3	10553
P31949	6282
P53041	5536
Q14541	3174
P12429	306
O15169	8312
Q96GD4	9212
P01563	3440
Q01344	3568
P27816	4134
Q9NPC1	56413
O60656	54600
Q06278	316
Q9UN88	55879
Q9NPD5	28234
P09238	4319
P24347	4320
O75900	8510
Q15788	8648
P20248	890
P31151	6278
O43293	1613
P63151	5520
Q16877	5210
Q00536	5127
P07737	5216
P59998	10093
Q16654	5166
P19105	10627
P26447	6275
O60218	57016
Q15648	5469
P11172	7372
P19622	2020
O14594	1463
P11233	5898
Q13882	5753
P49765	7423
P53667	3984
P04731	4489
P18847	467
Q9HBK9	57412
Q9Y5S8	27035
Q9NY56	29991
P04732	4493
P80297	4501
O75838	10518
Q96FQ6	140576
P12814	87
P51858	3068
P18669	5223
P31260	3206
P08648	3678
P52597	3185
P00739	3250
P35527	3857
P51884	4060
P14923	3728
P08779	3868
P37802	8407
Q9Y5S1	51393
Q01995	6876
P55073	1735
Q9UKI8	9874
O75385	8408
O15075	9201
Q9H2X6	28996
Q9UPZ9	22858
P53671	3985
Q8TD08	225689
Q04912	4486
Q15746	4638
O60285	9891
Q9H093	81788
Q9P286	57144
Q92482	360
Q99814	2034
Q96NY8	81607
Q99500	1903
P09758	4070
Q9Y4W6	10939
P49588	16
P08559	5160
P19634	6548
P00439	5053
Q09470	3736
P54886	5832
P10253	2548
P22557	212
O95831	9131
Q9UQD0	6334
Q6PI48	55157
Q9GZR5	6785
Q5JTZ9	57505
Q9NY47	9254
Q96KG9	57410
Q13885	7280
Q9UK17	3752
P35219	767
Q03426	4598
P16389	3737
P22460	3741
P17658	3742
P48547	3746
Q96PR1	3747
Q14003	3748
Q9H8P0	79644
P05129	5582
P78508	3766
P50993	477
P13637	478
Q9NYL2	51776
P04080	1476
Q9NYP7	60481
Q8NI60	56997
Q16512	5585
Q01814	491
Q16720	492
P37059	3294
Q9P0X4	8911
P12319	2205
P35626	157
P30613	5313
P13674	5033
P49591	6301
O15496	8399
Q9HCC0	64087
P02792	2512
Q969P6	116447
Q9Y289	8884
P11177	5162
Q9BYZ2	92483
Q9UHW9	9990
P13631	5916
P21918	1816
P07864	3948
O00180	3775
P50747	3141
P00387	1727
P48506	2729
O15403	9120
Q02338	622
P31040	6389
P36021	6567
P23786	1376
Q9NVS9	55163
P37088	6337
O75489	4722
P03897	4537
Q14524	6331
P30825	6541
P98194	27032
P08243	440
P32322	5831
P20061	6947
P29275	136
P49902	22978
Q04771	90
P13995	10797
Q96GD0	57026
O43676	4709
P34897	6472
O75251	374291
P10828	7068
Q16798	10873
P08709	2155
P18825	152
O95479	9563
P54368	4946
Q14749	27232
P49069	819
P00505	2806
Q16719	8942
O15554	3783
Q9UN76	11254
P10398	369
P42684	27
P10721	3815
P32754	3242
P22413	5167
O43181	4724
P54687	586
P34903	2556
Q12797	444
P17174	2805
Q7Z2H8	206358
P16066	4881
P52569	6542
Q16878	1036
P45954	36
P03915	4540
P47895	220
Q9Y6M9	4715
P06126	909
P43088	5737
P12236	293
Q02643	2692
P30085	51727
P33121	2180
O60701	7358
P41439	2352
Q13630	7264
Q16671	269
P48443	6258
P05141	292
P25100	146
P30838	218
O15382	587
P12268	3615
P15538	1584
P15121	231
P21731	6915
P20839	3614
Q07912	10188
O95470	8879
Q03013	2948
P22352	2878
Q13002	2898
P49019	8843
O95180	8912
O60427	3992
P49747	1311
P11217	5837
P02775	5473
P16860	4879
O60488	2182
P41250	2617
P63316	7134
P48549	3760
P22830	2235
Q96RJ0	134864
P11168	6514
P04004	7448
P06870	3816
Q13126	4507
P16444	1800
P00167	1528
P07602	5660
Q7Z2W7	79054
O15530	5170
Q9BWD1	39
Q9BQE3	84790
Q9Y663	9955
P23677	3706
O43570	771
P51151	9367
P11310	34
P10114	5911
Q99250	6326
Q9NY46	6328
O15230	3911
P05787	3856
P14543	4811
P05981	3249
P35346	6755
P11216	5834
P20711	1644
Q8TD30	84706
P09210	2939
Q32P28	64175
Q8IVL6	10536
Q8N543	55239
Q9H6Z9	112399
P22234	10606
Q8N142	122622
O15460	8974
Q9ULA0	23549
P46439	2949
P59796	257202
Q96SL4	2882
P23434	2653
Q14032	570
Q9P0Z9	51268
