From	To
P28566	HTR1E
P30837	ALDH1B1
P23975	SLC6A2
Q07343	PDE4B
P40394	ADH7
P28335	HTR2C
P18405	SRD5A1
P04406	GAPDH
P00352	ALDH1A1
P08172	CHRM2
P14778	IL1R1
P31213	SRD5A2
P42330	AKR1C3
Q05329	GAD2
Q9Y233	PDE10A
P41145	OPRK1
P08253	MMP2
P00390	GSR
P34969	HTR7
P10276	RARA
P24298	GPT
P04278	SHBG
P10827	THRA
P17735	TAT
P11498	PC
P49589	CARS1
P30536	TSPO
P12081	HARS1
P31645	SLC6A4
P01178	OXT
Q12879	GRIN2A
Q16445	GABRA6
P00533	EGFR
P35372	OPRM1
P47901	AVPR1B
P04150	NR3C1
P14867	GABRA1
P28222	HTR1B
P09488	GSTM1
P30711	GSTT1
Q13255	GRM1
Q13003	GRIK3
Q14831	GRM7
O00222	GRM8
P06241	FYN
P30559	OXTR
Q93088	BHMT
P43681	CHRNA4
P43220	GLP1R
Q16568	CARTPT
Q14289	PTK2B
P19440	GGT1
Q00535	CDK5
P05231	IL6
Q6W5P4	NPSR1
P01133	EGF
P27986	PIK3R1
P16220	CREB1
P10145	CXCL8
P52788	SMS
P17405	SMPD1
Q14416	GRM2
P29460	IL12B
P01137	TGFB1
Q03181	PPARD
P09038	FGF2
P06850	CRH
P48051	KCNJ6
P98160	HSPG2
P04275	VWF
P01019	AGT
P49841	GSK3B
Q06124	PTPN11
P01112	HRAS
P19838	NFKB1
P01138	NGF
P06881	CALCA
P43003	SLC1A3
P02649	APOE
P27815	PDE4A
P29218	IMPA1
P32239	CCKBR
O60760	HPGDS
P02751	FN1
P41594	GRM5
P13569	CFTR
P25942	CD40
Q99808	SLC29A1
P04040	CAT
P48736	PIK3CG
P17900	GM2A
Q13426	XRCC4
P62508	ESRRG
P21964	COMT
P11511	CYP19A1
P42898	MTHFR
O00519	FAAH
P00813	ADA
P15104	GLUL
Q13427	PPIG
Q14832	GRM3
P18505	GABRB1
P28472	GABRB3
P47870	GABRB2
P20815	CYP3A5
Q92769	HDAC2
Q9UBN7	HDAC6
P29371	TACR3
P41146	OPRL1
P42336	PIK3CA
O00329	PIK3CD
P42338	PIK3CB
P07949	RET
P49146	NPY2R
O00206	TLR4
P25929	NPY1R
Q15761	NPY5R
P22301	IL10
P39905	GDNF
Q9NQX3	GPHN
Q9BY49	PECR
P15289	ARSA
P18509	ADCYAP1
P11509	CYP2A6
P04637	TP53
Q92847	GHSR
P23560	BDNF
P33151	CDH5
P15328	FOLR1
P09429	HMGB1
P40763	STAT3
P01303	NPY
P05181	CYP2E1
P20813	CYP2B6
O14649	KCNK3
P30926	CHRNB4
P32297	CHRNA3
P30532	CHRNA5
Q05901	CHRNB3
P12104	FABP2
P18507	GABRG2
Q8N1C3	GABRG1
Q99928	GABRG3
Q16620	NTRK2
O95622	ADCY5
P61626	LYZ
P45983	MAPK8
Q16566	CAMK4
Q9UQM7	CAMK2A
P01889	HLA-B
P14550	AKR1A1
P07108	DBI
P30084	ECHS1
O14964	HGS
P01106	MYC
P01583	IL1A
P18510	IL1RN
P01903	HLA-DRA
O95264	HTR3B
Q9UGI6	KCNN3
Q9ULB1	NRXN1
Q9C0B1	FTO
Q16555	DPYSL2
Q8TAB3	PCDH19
O43613	HCRTR1
P34998	CRHR1
P80303	NUCB2
P63244	RACK1
P42858	HTT
Q9NYV7	TAS2R16
P21333	FLNA
Q8NFD2	ANKK1
P29322	EPHA8
Q9Y6R4	MAP3K4
Q9P0L2	MARK1
P32245	MC4R
P00738	HP
P06307	CCK
P02452	COL1A1
P20309	CHRM3
P14060	HSD3B1
P24752	ACAT1
P35610	SOAT1
Q9NYK1	TLR7
P10415	BCL2
P35354	PTGS2
P09455	RBP1
P16050	ALOX15
P28845	HSD11B1
P34896	SHMT1
P11926	ODC1
O15528	CYP27B1
P01130	LDLR
P04626	ERBB2
P25101	EDNRA
P02768	ALB
P06401	PGR
P49585	PCYT1A
P19429	TNNI3
P01589	IL2RA
P08235	NR3C2
Q01718	MC2R
Q9UKV0	HDAC9
P16410	CTLA4
P07858	CTSB
P01579	IFNG
P06730	EIF4E
P35222	CTNNB1
P51580	TPMT
P62937	PPIA
P60568	IL2
P13500	CCL2
Q92887	ABCC2
P05362	ICAM1
P04156	PRNP
P00450	CP
P42574	CASP3
Q9NR96	TLR9
P61586	RHOA
P48449	LSS
P09874	PARP1
P14174	MIF
Q96AZ6	ISG20
P32119	PRDX2
P19021	PAM
P47989	XDH
O95864	FADS2
Q9UGM6	WARS2
O00305	CACNB4
Q00653	NFKB2
P00441	SOD1
P27695	APEX1
P01911	HLA-DRB1
Q8WTS6	SETD7
Q13363	CTBP1
P01270	PTH
P00403	MT-CO2
O15392	BIRC5
Q9NPF7	IL23A
Q8NET8	TRPV3
P05019	IGF1
P10644	PRKAR1A
Q9NZQ7	CD274
P10636	MAPT
Q15722	LTB4R
P05112	IL4
P35869	AHR
P23458	JAK1
P01920	HLA-DQB1
P51178	PLCD1
P46459	NSF
P49913	CAMP
P35398	RORA
Q15125	EBP
P07288	KLK3
F7VJQ1	PRNP
P02765	AHSG
P04003	C4BPA
P35858	IGFALS
P15924	DSP
P46940	IQGAP1
Q13153	PAK1
Q9H4B4	PLK3
Q15139	PRKD1
Q96BR1	SGK3
P11532	DMD
P43657	LPAR6
P41222	PTGDS
Q9Y487	ATP6V0A2
P55211	CASP9
O15123	ANGPT2
P19113	HDC
Q9UI32	GLS2
P00488	F13A1
P35228	NOS2
P30542	ADORA1
P00519	ABL1
P23219	PTGS1
P35916	FLT4
P17948	FLT1
Q9UPY5	SLC7A11
P06213	INSR
O60931	CTNS
P04049	RAF1
P13716	ALAD
P30556	AGTR1
P34995	PTGER1
P11836	MS4A1
P51843	NR0B1
P10912	GHR
P12277	CKB
Q13639	HTR4
P14618	PKM
P11229	CHRM1
P17707	AMD1
O76082	SLC22A5
P51606	RENBP
Q9H244	P2RY12
P06746	POLB
O95477	ABCA1
P22888	LHCGR
P49419	ALDH7A1
P35498	SCN1A
Q9H3S4	TPK1
Q02218	OGDH
P15692	VEGFA
P20132	SDS
P49916	LIG3
Q9UJ68	MSRA
P08588	ADRB1
O76074	PDE5A
P56937	HSD17B7
P45381	ASPA
Q8WTV0	SCARB1
P14061	HSD17B1
O15374	SLC16A4
P18858	LIG1
Q13564	NAE1
Q09428	ABCC8
P56556	NDUFA6
P23381	WARS1
P06858	LPL
P05121	SERPINE1
P09917	ALOX5
P00491	PNP
Q9Y478	PRKAB1
O76054	SEC14L2
P08473	MME
P14207	FOLR2
P01008	SERPINC1
P05089	ARG1
P30518	AVPR2
Q13258	PTGDR
P31153	MAT2A
Q16795	NDUFA9
P00480	OTC
P02753	RBP4
Q99714	HSD17B10
P00918	CA2
P35520	CBS
P49286	MTNR1B
P00374	DHFR
P00395	MT-CO1
P02766	TTR
P25098	GRK2
P05093	CYP17A1
P20648	ATP4A
Q96I99	SUCLG2
P63098	PPP3R1
P43116	PTGER2
P35968	KDR
P04070	PROC
P23945	FSHR
Q9GZT4	SRR
P60880	SNAP25
P08246	ELANE
P02794	FTH1
P50416	CPT1A
Q00266	MAT1A
P51659	HSD17B4
P13196	ALAS1
P19793	RXRA
P0DP23	CALM1
P55017	SLC12A3
P04083	ANXA1
P04181	OAT
P00338	LDHA
P22303	ACHE
P31749	AKT1
P30988	CALCR
O60669	SLC16A7
P29466	CASP1
Q96RQ3	MCCC1
Q96A70	AZIN2
O15427	SLC16A3
Q9UIC8	LCMT1
P37023	ACVRL1
P30939	HTR1F
O95665	NTSR2
O60706	ABCC9
Q16718	NDUFA5
Q16739	UGCG
O43497	CACNA1G
P16473	TSHR
P41252	IARS1
Q9Y5K3	PCYT1B
P35348	ADRA1A
P03886	MT-ND1
P41180	CASR
O94788	ALDH1A2
P48039	MTNR1A
P20701	ITGAL
P28329	CHAT
P04424	ASL
O60391	GRIN3B
P03905	MT-ND4
Q12791	KCNMA1
Q9NWM0	SMOX
Q04609	FOLH1
P18089	ADRA2B
P04035	HMGCR
Q14534	SQLE
O43772	SLC25A20
P40925	MDH1
P12235	SLC25A4
Q9Y617	PSAT1
P11586	MTHFD1
P52895	AKR1C2
P18031	PTPN1
Q13085	ACACA
Q8TDS4	HCAR2
P42261	GRIA1
Q8TCU5	GRIN3A
P14784	IL2RB
P19235	EPOR
P03891	MT-ND2
P47712	PLA2G4A
P17181	IFNAR1
P53985	SLC16A1
P51787	KCNQ1
P20138	CD33
O95169	NDUFB8
Q13131	PRKAA1
Q16515	ASIC2
O14842	FFAR1
P05230	FGF1
P14902	IDO1
P07550	ADRB2
P62942	FKBP1A
O95342	ABCB11
Q13946	PDE7A
P12314	FCGR1A
Q03405	PLAUR
O14556	GAPDHS
Q99707	MTR
P09622	DLD
Q15822	CHRNA2
P53004	BLVRA
Q9UI09	NDUFA12
P78540	ARG2
Q9UBK8	MTRR
O94760	DDAH1
Q9P2J5	LARS1
P14324	FDPS
P22033	MMUT
P40926	MDH2
P33527	ABCC1
Q92731	ESR2
Q99062	CSF3R
Q9UHC9	NPC1L1
Q9Y2Q3	GSTK1
P21266	GSTM3
P09211	GSTP1
P78417	GSTO1
P07203	GPX1
O43708	GSTZ1
O94925	GLS
Q16099	GRIK4
P42262	GRIA2
P48058	GRIA4
P42263	GRIA3
O43451	MGAM
P07947	YES1
P06239	LCK
P42081	CD86
P33681	CD80
P17787	CHRNB2
P07333	CSF1R
P27487	DPP4
P01031	C5
P08069	IGF1R
O60895	RAMP2
P11086	PNMT
Q02750	MAP2K1
P05771	PRKCB
P29972	AQP1
P22102	GART
Q06520	SULT2A1
P26358	DNMT1
P00749	PLAU
O95237	LRAT
O75015	FCGR3B
P20810	CAST
P35558	PCK1
P01023	A2M
P51681	CCR5
P05451	REG1A
Q99519	NEU1
P08581	MET
P62993	GRB2
P61073	CXCR4
P03956	MMP1
P10997	IAPP
P02652	APOA2
P28482	MAPK1
P29274	ADORA2A
P02763	ORM1
P01574	IFNB1
P25116	F2R
P08174	CD55
P27169	PON1
O75891	ALDH1L1
P02778	CXCL10
P00156	MT-CYB
P07339	CTSD
P07225	PROS1
P50406	HTR6
P20333	TNFRSF1B
P34913	EPHX2
O75469	NR1I2
P49327	FASN
P45452	MMP13
Q9Y5N1	HRH3
P17936	IGFBP3
P13501	CCL5
P35568	IRS1
P04062	GBA1
P29074	PTPN4
Q9BYF1	ACE2
P32418	SLC8A1
P56817	BACE1
Q99497	PARK7
Q7L0J3	SV2A
P02788	LTF
Q16853	AOC3
P31930	UQCRC1
P29965	CD40LG
P99999	CYCS
P08311	CTSG
Q13464	ROCK1
Q16539	MAPK14
P03951	F11
Q8NER1	TRPV1
P24385	CCND1
P08183	ABCB1
P21980	TGM2
P04629	NTRK1
P05412	JUN
P15502	ELN
P43005	SLC1A1
P11166	SLC2A1
Q13231	CHIT1
P27361	MAPK3
O60858	TRIM13
Q9UNQ0	ABCG2
P16581	SELE
P05164	MPO
O60733	PLA2G6
P15144	ANPEP
Q15111	PLCL1
P06493	CDK1
P80188	LCN2
P00750	PLAT
P11413	G6PD
P23297	S100A1
Q9UM07	PADI4
P17302	GJA1
P21589	NT5E
P53779	MAPK10
P11021	HSPA5
P48651	PTDSS1
P11137	MAP2
P15309	ACP3
P19367	HK1
P63000	RAC1
P16070	CD44
P19320	VCAM1
P08254	MMP3
Q16873	LTC4S
P07900	HSP90AA1
P14210	HGF
O75762	TRPA1
P16870	CPE
Q08345	DDR1
P08697	SERPINF2
P01100	FOS
P17252	PRKCA
P36969	GPX4
P19438	TNFRSF1A
P02774	GC
P48061	CXCL12
O14920	IKBKB
P05106	ITGB3
P98170	XIAP
O60603	TLR2
P45844	ABCG1
P78559	MAP1A
P31751	AKT2
P63104	YWHAZ
P14410	SI
P04271	S100B
P13726	F3
P30086	PEBP1
P22894	MMP8
P14735	IDE
P15559	NQO1
Q08257	CRYZ
O15439	ABCC4
P28161	GSTM2
P08842	STS
P06744	GPI
P08100	RHO
P22455	FGFR4
P80511	S100A12
P05113	IL5
P68400	CSNK2A1
P02743	APCS
P31939	ATIC
Q10588	BST1
Q9P2W7	B3GAT1
O75874	IDH1
P68363	TUBA1B
Q06187	BTK
Q08499	PDE4D
Q9NP99	TREM1
P43403	ZAP70
P43405	SYK
P17931	LGALS3
P68371	TUBB4B
P49137	MAPKAPK2
P36959	GMPR
P68366	TUBA4A
P30405	PPIF
P08631	HCK
P50579	METAP2
P35030	PRSS3
Q92876	KLK6
P55055	NR1H2
P06132	UROD
P14555	PLA2G2A
P25774	CTSS
Q9Y286	SIGLEC7
Q9Y5Y6	ST14
P00751	CFB
P30305	CDC25B
P53355	DAPK1
Q9HAN9	NMNAT1
P49759	CLK1
Q16775	HAGH
P55210	CASP7
P00746	CFD
P52732	KIF11
P37173	TGFBR2
Q05315	CLC
P08238	HSP90AB1
P51161	FABP6
Q16881	TXNRD1
O00408	PDE2A
P00736	C1R
P02745	C1QA
P08637	FCGR3A
P12318	FCGR2A
P11047	LAMC1
P25391	LAMA1
P27797	CALR
Q07954	LRP1
P13727	PRG2
P32927	CSF2RB
P34741	SDC2
P06400	RB1
P29120	PCSK1
Q16270	IGFBP7
P02461	COL3A1
P11362	FGFR1
P22607	FGFR3
P07711	CTSL
P23763	VAMP1
P63027	VAMP2
Q01362	MS4A2
P35237	SERPINB6
P09486	SPARC
P48147	PREP
Q6ZQY3	GADL1
O14939	PLD2
P06276	BCHE
Q13393	PLD1
Q9HBH1	PDF
P50750	CDK9
P11802	CDK4
P21452	TACR2
Q7L266	ASRGL1
Q07075	ENPEP
Q9H4Y5	GSTO2
Q9NY59	SMPD3
Q6IB77	GLYAT
Q9ULC6	PADI1
Q9Y2J8	PADI2
P67775	PPP2CA
P23284	PPIB
P45877	PPIC
Q96I59	NARS2
P36544	CHRNA7
P49721	PSMB2
P10635	CYP2D6
P16435	POR
Q13547	HDAC1
O15379	HDAC3
Q16665	HIF1A
P43115	PTGER3
P20292	ALOX5AP
O00459	PIK3R2
Q92569	PIK3R3
P42345	MTOR
P41231	P2RY2
P08865	RPSA
O14672	ADAM10
O60674	JAK2
Q13093	PLA2G7
P43490	NAMPT
Q05655	PRKCD
P24394	IL4R
P05177	CYP1A2
P35225	IL13
P03952	KLKB1
P32320	CDA
Q01726	MC1R
O14746	TERT
P05155	SERPING1
Q5T4S7	UBR4
Q96EB6	SIRT1
P07237	P4HB
P21796	VDAC1
P10147	CCL3
Q15185	PTGES3
P04141	CSF2
P42768	WAS
P08684	CYP3A4
P23141	CES1
P11712	CYP2C9
P08887	IL6R
P51687	SUOX
P80075	CCL8
P06703	S100A6
Q6UWP2	DHRS11
P15531	NME1
Q16698	DECR1
O76083	PDE9A
P49763	PGF
Q9Y691	KCNMB2
P15086	CPB1
P22392	NME2
P07998	RNASE1
Q03721	KCNC4
Q16769	QPCT
P78368	CSNK1G2
P30291	WEE1
P07384	CAPN1
Q13285	NR5A1
Q9NXA8	SIRT5
P35625	TIMP3
Q86VB7	CD163
P48357	LEPR
O96017	CHEK2
O14757	CHEK1
P05305	EDN1
P41597	CCR2
Q9NNW7	TXNRD2
P51671	CCL11
P05067	APP
Q96BI3	APH1A
Q9NZ42	PSENEN
Q13443	ADAM9
P43235	CTSK
P55786	NPEPPS
Q92843	BCL2L2
P50052	AGTR2
Q02156	PRKCE
P04792	HSPB1
O14793	MSTN
Q15116	PDCD1
Q99527	GPER1
Q9H6X2	ANTXR1
P02647	APOA1
Q14790	CASP8
Q14956	GPNMB
O43174	CYP26A1
P04439	HLA-A
P40933	IL15
P01308	INS
P01127	PDGFB
P15391	CD19
P53420	COL4A4
P15941	MUC1
P15169	CPN1
Q07820	MCL1
P49674	CSNK1E
P30411	BDKRB2
Q00613	HSF1
Q96QU6	ACCS
P11597	CETP
O14788	TNFSF11
Q9NR97	TLR8
P56524	HDAC4
P30874	SSTR2
P32745	SSTR3
P33261	CYP2C19
P05108	CYP11A1
P22309	UGT1A1
P25024	CXCR1
P52209	PGD
P05556	ITGB1
P06756	ITGAV
Q9NRF9	POLE3
P11717	IGF2R
Q12908	SLC10A2
Q8TCC7	SLC22A8
P19652	ORM2
P09237	MMP7
P50281	MMP14
Q9Y5R2	MMP24
P11474	ESRRA
Q8NEB9	PIK3C3
Q08462	ADCY2
Q13526	PIN1
P48552	NRIP1
P53350	PLK1
P30153	PPP2R1A
P78536	ADAM17
P17612	PRKACA
P13051	UNG
P45984	MAPK9
Q99933	BAG1
P11142	HSPA8
Q13133	NR1H3
P36897	TGFBR1
Q9UQF2	MAPK8IP1
P42892	ECE1
P62136	PPP1CA
P21281	ATP6V1B2
Q15078	CDK5R1
P61313	RPL15
O75460	ERN1
P25705	ATP5F1A
P06576	ATP5F1B
P60174	TPI1
Q14994	NR1I3
Q15118	PDK1
P28072	PSMB6
P09466	PAEP
Q9Y6M4	CSNK1G3
Q494W8	CHRFAM7A
P00414	MT-CO3
P20674	COX5A
P10176	COX8A
P14854	COX6B1
P04054	PLA2G1B
Q13627	DYRK1A
P41235	HNF4A
P98155	VLDLR
P0CG48	UBC
O00141	SGK1
P14920	DAO
P29597	TYK2
P08758	ANXA5
P49862	KLK7
P06396	GSN
Q14494	NFE2L1
P23528	CFL1
O75116	ROCK2
P06731	CEACAM5
Q08209	PPP3CA
P15151	PVR
P61160	ACTR2
P13639	EEF2
P05187	ALPP
P07948	LYN
P78362	SRPK2
Q8IU85	CAMK1D
O00182	LGALS9
P09848	LCT
Q9NWZ3	IRAK4
Q92793	CREBBP
O14792	HS3ST1
O43612	HCRT
Q15796	SMAD2
P04179	SOD2
O75390	CS
P08670	VIM
P20472	PVALB
P22694	PRKACB
Q8IWL2	SFTPA1
P11226	MBL2
P51149	RAB7A
P04053	DNTT
P17600	SYN1
P63096	GNAI1
P20645	M6PR
Q99798	ACO2
P10600	TGFB3
Q14643	ITPR1
P78352	DLG4
P48735	IDH2
P68104	EEF1A1
P62837	UBE2D2
P20339	RAB5A
P50897	PPT1
Q9NTG7	SIRT3
P29323	EPHB2
P09104	ENO2
P62166	NCS1
P62491	RAB11A
P62826	RAN
P0CG47	UBB
O14874	BCKDK
P55072	VCP
Q92993	KAT5
O60493	SNX3
P55789	GFER
P78330	PSPH
Q01082	SPTBN1
Q13838	DDX39B
P13611	VCAN
P60953	CDC42
Q9BVM4	GGACT
Q96QT4	TRPM7
Q9UL54	TAOK2
Q9Y6B6	SAR1B
P41091	EIF2S3
Q9Y646	CPQ
P30041	PRDX6
P31327	CPS1
P00748	F12
P54219	SLC18A1
P0C0L4	C4A
P0C0L5	C4B
P0C0L5	C4B_2
Q9UQQ2	SH2B3
Q14721	KCNB1
P28065	PSMB9
P42685	FRK
P11274	BCR
P36507	MAP2K2
P31639	SLC5A2
Q14145	KEAP1
Q15303	ERBB4
Q7RTT9	SLC29A4
P48065	SLC6A12
P02795	MT2A
P13762	HLA-DRB4
Q30154	HLA-DRB5
Q9HAB3	SLC52A2
Q13315	ATM
O00264	PGRMC1
P04839	CYBB
P14598	NCF1
P15153	RAC2
Q9H2S1	KCNN2
P54646	PRKAA2
Q14571	ITPR2
Q14573	ITPR3
Q9NP56	PDE7B
O95263	PDE8B
P15336	ATF2
P18848	ATF4
P18850	ATF6
Q07021	C1QBP
Q6UX15	LAYN
P98066	TNFAIP6
P10599	TXN
P60709	ACTB
P63261	ACTG1
P05090	APOD
Q15493	RGN
Q92736	RYR2
P28907	CD38
P17676	CEBPB
P60484	PTEN
P49908	SELENOP
Q04206	RELA
P09936	UCHL1
P25713	MT3
Q8TDU6	GPBAR1
Q99571	P2RX4
P06733	ENO1
P29590	PML
O14618	CCS
Q14978	NOLC1
O60502	OGA
Q06830	PRDX1
O43614	HCRTR2
Q8NBP7	PCSK9
Q99828	CIB1
P13693	TPT1
P28676	GCA
P0DP24	CALM2
P0DP25	CALM3
P22676	CALB2
Q86UW7	CADPS2
P02655	APOC2
P02656	APOC3
P29372	MPG
P05109	S100A8
P10809	HSPD1
P22626	HNRNPA2B1
P23246	SFPQ
P31948	STIP1
P60842	EIF4A1
P04155	TFF1
Q96RI0	F2RL3
P06702	S100A9
O15350	TP73
P12644	BMP4
Q99623	PHB2
P53805	RCAN1
P38936	CDKN1A
Q14457	BECN1
P54652	HSPA2
P61978	HNRNPK
P34932	HSPA4
Q92598	HSPH1
P60903	S100A10
P09493	TPM1
P54578	USP14
P12004	PCNA
P02748	C9
P08603	CFH
P05156	CFI
P10909	CLU
P45973	CBX5
P36955	SERPINF1
P05160	F13B
Q14624	ITIH4
P02533	KRT14
P01011	SERPINA3
P51693	APLP1
Q06481	APLP2
Q92945	KHSRP
P48047	ATP5PO
Q5SSJ5	HP1BP3
P06748	NPM1
P62753	RPS6
Q07955	SRSF1
Q02083	NAAA
Q9HBA0	TRPV4
P35579	MYH9
P31391	SSTR4
P22897	MRC1
Q9UHD2	TBK1
Q13470	TNK1
Q06418	TYRO3
Q2M2I8	AAK1
Q96RR4	CAMKK2
O14578	CIT
P49760	CLK2
Q9UIK4	DAPK2
P19525	EIF2AK2
Q9P2K8	EIF2AK4
P21709	EPHA1
P54764	EPHA4
P07332	FES
P49840	GSK3A
P14616	INSRR
P51617	IRAK1
P46734	MAP2K3
Q02779	MAP3K10
Q12852	MAP3K12
Q13164	MAPK7
Q8IW41	MAPKAPK5
Q7KZI7	MARK2
P27448	MARK3
Q96L34	MARK4
O75914	PAK3
Q9NYY3	PLK2
Q13546	RIPK1
P08922	ROS1
O75716	STK16
P01350	GAST
Q15910	EZH2
Q8IXJ6	SIRT2
P35232	PHB1
Q86YN6	PPARGC1B
P51575	P2RX1
Q9UBL9	P2RX2
P56373	P2RX3
Q93086	P2RX5
O15547	P2RX6
Q99572	P2RX7
P47900	P2RY1
P51582	P2RY4
Q9Y6H6	KCNE3
Q9UQ05	KCNH4
Q96L42	KCNH8
P04114	APOB
P52824	DGKQ
Q13574	DGKZ
Q13488	TCIRG1
P61421	ATP6V0D1
O15342	ATP6V0E1
P36543	ATP6V1E1
Q9UI12	ATP6V1H
P49662	CASP4
P20702	ITGAX
P23634	ATP2B4
P16278	GLB1
P0CG30	GSTT2B
Q9UBC3	DNMT3B
Q9NRA0	SPHK2
P21802	FGFR2
P12259	F5
P00742	F10
P02671	FGA
P10646	TFPI
P05120	SERPINB2
P07359	GP1BA
P02776	PF4
P07204	THBD
P16109	SELP
Q9UNN8	PROCR
P07355	ANXA2
P02749	APOH
Q96IY4	CPB2
P40238	MPL
P61769	B2M
P15813	CD1D
P07202	TPO
Q13509	TUBB3
Q9BUF5	TUBB6
P54762	EPHB1
Q9BQB4	SOST
P42357	HAL
P21695	GPD1
P08514	ITGA2B
P48048	KCNJ1
P02818	BGLAP
P12931	SRC
P21462	FPR1
P20594	NPR2
P13945	ADRB3
P10153	RNASE2
P04745	AMY1A
P04745	AMY1B
P04745	AMY1C
P04075	ALDOA
P17342	NPR3
Q02763	TEK
Q5NUL3	FFAR4
Q96RD7	PANX1
P12883	MYH7
P51003	PAPOLA
P13498	CYBA
Q16558	KCNMB1
P36956	SREBF1
P08493	MGP
P30626	SRI
Q99653	CHP1
Q9NZD4	AHSP
Q15238	PSG5
Q13219	PAPPA
P81605	DCD
P63252	KCNJ2
P00451	F8
Q9UBM7	DHCR7
P10515	DLAT
P00492	HPRT1
P31358	CD52
P13688	CEACAM1
P25021	HRH2
P08700	IL3
Q9H3N8	HRH4
P36888	FLT3
O43175	PHGDH
P20273	CD22
Q15046	KARS1
P54577	YARS1
P55157	MTTP
Q15758	SLC1A5
P10745	RBP3
P00915	CA1
P07766	CD3E
P49915	GMPS
P16471	PRLR
O00555	CACNA1A
P48029	SLC6A8
Q02127	DHODH
P35367	HRH1
P13612	ITGA4
Q9UKU7	ACAD8
O43776	NARS1
P15056	BRAF
Q9NS40	KCNH7
P06729	CD2
Q9H015	SLC22A4
P16234	PDGFRA
Q7Z4W1	DCXR
P51692	STAT5B
P30044	PRDX5
P12724	RNASE3
P35270	SPR
P24158	PRTN3
P11387	TOP1
O14965	AURKA
Q9Y275	TNFSF13B
Q00987	MDM2
Q9Y6L6	SLCO1B1
P35557	GCK
P01374	LTA
P14625	HSP90B1
Q96C86	DCPS
Q13370	PDE3B
P11309	PIM1
Q08881	ITK
P41240	CSK
Q04759	PRKCQ
P09871	C1S
P23526	AHCY
P07477	PRSS1
O60911	CTSV
P31994	FCGR2B
P68133	ACTA1
P31785	IL2RG
P07942	LAMB1
P01906	HLA-DQA2
Q96KS0	EGLN2
Q9GZT9	EGLN1
P49336	CDK8
Q07973	CYP24A1
Q9BXA5	SUCNR1
P78527	PRKDC
Q9Y6K9	IKBKG
P51686	CCR9
P26196	DDX6
Q92831	KAT2B
Q9HB21	PLEKHA1
Q9Y689	ARL5A
Q13233	MAP3K1
P09693	CD3G
P20963	CD247
Q9Y6Q6	TNFRSF11A
Q07011	TNFRSF9
P25963	NFKBIA
P28908	TNFRSF8
P01730	CD4
P52333	JAK3
P17813	ENG
P25092	GUCY2C
Q16706	MAN2A1
Q12884	FAP
P35408	PTGER4
Q8WUI4	HDAC7
P35218	CA5A
P23280	CA6
Q9H239	MMP28
Q9UNI1	CELA1
P24666	ACP1
P62829	RPL23
P60900	PSMA6
Q9HCD5	NCOA5
P01116	KRAS
P16112	ACAN
P60981	DSTN
Q12866	MERTK
Q96GR2	ACSBG1
O94768	STK17B
Q9BY32	ITPA
P13929	ENO3
P29508	SERPINB3
P09382	LGALS1
P20823	HNF1A
P19883	FST
Q92830	KAT2A
P00973	OAS1
Q9BZZ2	SIGLEC1
Q15382	RHEB
Q99873	PRMT1
O00187	MASP2
P22001	KCNA3
P40306	PSMB10
P28062	PSMB8
P79483	HLA-DRB3
P08686	CYP21A2
O95644	NFATC1
