From	To
Q9NR33	POLE4
P00491	PNP
O15111	CHUK
O14920	IKBKB
P05164	MPO
P21728	DRD1
P21918	DRD5
P28223	HTR2A
P35462	DRD3
P21917	DRD4
P50406	HTR6
P34969	HTR7
P08172	CHRM2
P08173	CHRM4
P46098	HTR3A
O95264	HTR3B
P41595	HTR2B
Q14524	SCN5A
P35498	SCN1A
Q07699	SCN1B
Q9NY46	SCN3A
Q9UQD0	SCN8A
P03372	ESR1
P62508	ESRRG
Q92731	ESR2
P11474	ESRRA
O95718	ESRRB
Q15596	NCOA2
P10275	AR
O15554	KCNN4
Q8TDS4	HCAR2
P00390	GSR
Q9Y5Y9	SCN10A
Q9UI33	SCN11A
P35499	SCN4A
Q01118	SCN7A
Q15858	SCN9A
P39086	GRIK1
Q13003	GRIK3
Q16099	GRIK4
P07451	CA3
P02763	ORM1
P02768	ALB
Q8TCT9	HM13
Q15155	NOMO1
P09874	PARP1
Q7Z5B4	RIC3
P00734	F2
P10827	THRA
P10828	THRB
P12004	PCNA
Q9NZV8	KCND2
Q9UK17	KCND3
P19652	ORM2
P00533	EGFR
P14324	FDPS
O95749	GGPS1
P42574	CASP3
P55211	CASP9
O43451	MGAM
P10253	GAA
P14410	SI
P04746	AMY2A
P43088	PTGFR
P48549	KCNJ3
P18858	LIG1
P49916	LIG3
Q9Y6Y9	LY96
P34995	PTGER1
P00747	PLG
P06401	PGR
Q9H252	KCNH6
Q9NS40	KCNH7
Q9UKV0	HDAC9
Q02218	OGDH
P51649	ALDH5A1
O60939	SCN2B
Q9NY72	SCN3B
Q8IWT1	SCN4B
Q15185	PTGES3
P04629	NTRK1
Q16620	NTRK2
O43526	KCNQ2
Q09470	KCNA1
P25021	HRH2
Q9H3N8	HRH4
Q99720	SIGMAR1
O43525	KCNQ3
P21964	COMT
P16066	NPR1
P14555	PLA2G2A
Q8N8N7	PTGR2
Q04760	GLO1
Q9Y5Y4	PTGDR2
P42330	AKR1C3
Q16134	ETFDH
P21695	GPD1
P32297	CHRNA3
P17787	CHRNB2
P42345	MTOR
P62942	FKBP1A
P35869	AHR
P00797	REN
Q12791	KCNMA1
P11511	CYP19A1
P05108	CYP11A1
P07437	TUBB
P09211	GSTP1
P09038	FGF2
P01133	EGF
P02671	FGA
P02675	FGB
P02679	FGG
Q14994	NR1I3
P18405	SRD5A1
P00439	PAH
P43119	PTGIR
Q02880	TOP2B
P17405	SMPD1
P23141	CES1
P51168	SCNN1B
P37088	SCNN1A
P51172	SCNN1D
P51170	SCNN1G
P05023	ATP1A1
P08235	NR3C2
P05093	CYP17A1
P35916	FLT4
P04049	RAF1
P35968	KDR
P15056	BRAF
P36888	FLT3
P09619	PDGFRB
P10721	KIT
P11362	FGFR1
P07949	RET
P17948	FLT1
P01008	SERPINC1
P05546	SERPIND1
Q16739	UGCG
P31213	SRD5A2
Q9H8P0	SRD5A3
P11168	SLC2A2
O60502	OGA
P55017	SLC12A3
P47989	XDH
P04818	TYMS
P30085	CMPK1
P10636	MAPT
P06756	ITGAV
P05106	ITGB3
O95259	KCNH1
P04070	PROC
P07225	PROS1
P14770	GP9
P21554	CNR1
P34972	CNR2
Q9Y271	CYSLTR1
Q15822	CHRNA2
P30926	CHRNB4
P61024	CKS1B
P0DP23	CALM1
Q96SW2	CRBN
O14788	TNFSF11
P33151	CDH5
P50453	SERPINB9
P04155	TFF1
O15530	PDPK1
Q14697	GANAB
Q99705	MCHR1
O00264	PGRMC1
P04839	CYBB
P13498	CYBA
P14598	NCF1
P19878	NCF2
Q15080	NCF4
P63000	RAC1
P15153	RAC2
P29372	MPG
P01023	A2M
P02787	TF
O00244	ATOX1
P17936	IGFBP3
Q15238	PSG5
P05091	ALDH2
Q14353	GAMT
P07998	RNASE1
P78352	DLG4
P68366	TUBA4A
P51857	AKR1D1
P14679	TYR
P07202	TPO
P00813	ADA
P02708	CHRNA1
P42261	GRIA1
P24530	EDNRB
P25101	EDNRA
P00374	DHFR
P31939	ATIC
P00742	F10
Q71U36	TUBA1A
P23258	TUBG1
P23415	GLRA1
O76082	SLC22A5
P23786	CPT2
P50416	CPT1A
P43155	CRAT
O43772	SLC25A20
Q9H015	SLC22A4
P47712	PLA2G4A
P04083	ANXA1
P07355	ANXA2
P12429	ANXA3
P09525	ANXA4
P08758	ANXA5
P19801	AOC1
Q16515	ASIC2
P78348	ASIC1
P19634	SLC9A1
P00749	PLAU
P08183	ABCB1
Q13639	HTR4
P15121	AKR1B1
P27361	MAPK3
O60218	AKR1B10
P01375	TNF
Q9NR96	TLR9
P09429	HMGB1
P09488	GSTM1
Q9BYF1	ACE2
P11274	BCR
P07333	CSF1R
P16234	PDGFRA
Q08345	DDR1
P00519	ABL1
P49019	HCAR3
Q15274	QPRT
P40261	NNMT
P29074	PTPN4
Q13332	PTPRS
P23469	PTPRE
P38606	ATP6V1A
P22102	GART
P41594	GRM5
Q15125	EBP
Q05655	PRKCD
Q02156	PRKCE
P05129	PRKCG
P41743	PRKCI
Q04759	PRKCQ
Q05513	PRKCZ
P45983	MAPK8
Q9BQB6	VKORC1
P05230	FGF1
P08620	FGF4
Q9HC97	GPR35
Q9Y2I1	NISCH
Q9NS75	CYSLTR2
P21462	FPR1
Q13258	PTGDR
P07900	HSP90AA1
Q16558	KCNMB1
Q86W47	KCNMB4
Q9H2S1	KCNN2
Q9UGI6	KCNN3
Q86U10	ASPG
P26358	DNMT1
Q9Y6K1	DNMT3A
Q9NYK1	TLR7
Q9NR97	TLR8
Q8NFJ5	GPRC5A
P49788	RARRES1
P31025	LCN1
Q9NY56	OBP2A
P02753	RBP4
Q16654	PDK4
O43174	CYP26A1
Q9NR63	CYP26B1
O60760	HPGDS
P04156	PRNP
Q9UM07	PADI4
P11387	TOP1
P07101	TH
Q9Y5N1	HRH3
P23297	S100A1
P80511	S100A12
P04271	S100B
Q99584	S100A13
P29034	S100A2
P43116	PTGER2
P08514	ITGA2B
Q16853	AOC3
Q99527	GPER1
P00846	MT-ATP6
Q14457	BECN1
Q6FHJ7	SFRP4
Q9UPY5	SLC7A11
P24752	ACAT1
P24557	TBXAS1
P04054	PLA2G1B
P21589	NT5E
O43570	CA12
Q9ULX7	CA14
P43166	CA7
P29972	AQP1
P63316	TNNC1
P26447	S100A4
P07288	KLK3
P29475	NOS1
P01584	IL1B
Q00653	NFKB2
P19838	NFKB1
P49146	NPY2R
P52209	PGD
O95644	NFATC1
P18846	ATF1
P15336	ATF2
P18847	ATF3
P18848	ATF4
Q9Y2D1	ATF5
P18850	ATF6
P17544	ATF7
P01100	FOS
P60568	IL2
Q9H2X9	SLC12A5
P13569	CFTR
P23416	GLRA2
P48058	GRIA4
P42263	GRIA3
P48051	KCNJ6
P19320	VCAM1
Q99808	SLC29A1
P48544	KCNJ5
P30532	CHRNA5
Q05901	CHRNB3
Q14542	SLC29A2
P32004	L1CAM
Q9UJU2	LEF1
P43115	PTGER3
P30531	SLC6A1
P35218	CA5A
P35219	CA8
Q16790	CA9
Q9NS85	CA10
O75493	CA11
Q8N1Q1	CA13
P35408	PTGER4
P41146	OPRL1
O00206	TLR4
Q06278	AOX1
Q04828	AKR1C1
P04637	TP53
P11021	HSPA5
P51812	RPS6KA3
P25963	NFKBIA
P29466	CASP1
P28482	MAPK1
P31152	MAPK4
Q16659	MAPK6
Q13164	MAPK7
P24385	CCND1
P01106	MYC
Q16873	LTC4S
Q9UHC9	NPC1L1
P35610	SOAT1
P15144	ANPEP
P53805	RCAN1
P06746	POLB
P00441	SOD1
P30044	PRDX5
Q9NR82	KCNQ5
Q14978	NOLC1
P25815	S100P
P25024	CXCR1
P41180	CASR
O60706	ABCC9
O95342	ABCB11
O95477	ABCA1
Q15842	KCNJ8
Q8TD43	TRPM4
P14780	MMP9
P15692	VEGFA
P99999	CYCS
P53779	MAPK10
Q15759	MAPK11
P53778	MAPK12
O15264	MAPK13
Q16539	MAPK14
P45984	MAPK9
P08686	CYP21A2
P00492	HPRT1
Q06203	PPAT
P20839	IMPDH1
Q9NPA2	MMP25
P21802	FGFR2
O75311	GLRA3
P48167	GLRB
P51788	CLCN2
P10415	BCL2
P07204	THBD
P12104	FABP2
P07359	GP1BA
P31151	S100A7
P27986	PIK3R1
O00459	PIK3R2
Q92569	PIK3R3
P48039	MTNR1A
P49286	MTNR1B
P11678	EPX
P27797	CALR
P46597	ASMT
P16083	NQO2
Q99677	LPAR4
P43657	LPAR6
P51575	P2RX1
Q9UBL9	P2RX2
P56373	P2RX3
Q99571	P2RX4
Q93086	P2RX5
O15547	P2RX6
Q99572	P2RX7
P47900	P2RY1
Q96G91	P2RY11
Q9BPV8	P2RY13
P41231	P2RY2
P51582	P2RY4
Q86VZ1	P2RY8
P16389	KCNA2
P22001	KCNA3
P22459	KCNA4
P22460	KCNA5
P17658	KCNA6
Q14721	KCNB1
P48547	KCNC1
Q96PR1	KCNC2
Q14003	KCNC3
Q03721	KCNC4
P15382	KCNE1
Q9Y6J6	KCNE2
Q9Y6H6	KCNE3
Q8WWG9	KCNE4
Q9ULD8	KCNH3
Q9UQ05	KCNH4
Q8NCM2	KCNH5
Q96L42	KCNH8
P51787	KCNQ1
P56696	KCNQ4
Q9BQ31	KCNS3
Q8TDN2	KCNV2
Q14722	KCNAB1
Q13303	KCNAB2
P27707	DCK
P27487	DPP4
P12235	SLC25A4
P05141	SLC25A5
P12236	SLC25A6
P16233	PNLIP
P49327	FASN
P00750	PLAT
P63252	KCNJ2
P48050	KCNJ4
Q86YN6	PPARGC1B
P38435	GGCX
Q05209	PTPN12
P29350	PTPN6
Q9Y487	ATP6V0A2
Q13488	TCIRG1
Q9HBG4	ATP6V0A4
P21281	ATP6V1B2
P15313	ATP6V1B1
Q8N8Y2	ATP6V0D2
P36543	ATP6V1E1
O75348	ATP6V1G1
O95670	ATP6V1G2
Q9UI12	ATP6V1H
P16860	NPPB
P17302	GJA1
P16581	SELE
Q16665	HIF1A
P01137	TGFB1
Q16850	CYP51A1
Q16881	TXNRD1
P31749	AKT1
P38936	CDKN1A
Q13547	HDAC1
P29590	PML
P49888	SULT1E1
P80365	HSD11B2
P30049	ATP5F1D
P03886	MT-ND1
P98194	ATP2C1
O75185	ATP2C2
P20020	ATP2B1
Q01814	ATP2B2
Q16720	ATP2B3
P23634	ATP2B4
O14983	ATP2A1
P16615	ATP2A2
Q92736	RYR2
P11137	MAP2
P08253	MMP2
P09960	LTA4H
Q7L0J3	SV2A
Q9H4B7	TUBB1
P27816	MAP4
P51843	NR0B1
Q16647	PTGIS
Q9Y6L6	SLCO1B1
Q8TCC7	SLC22A8
O94956	SLCO2B1
Q9NPD5	SLCO1B3
P51580	TPMT
P01579	IFNG
P12931	SRC
P29317	EPHA2
P06239	LCK
P51692	STAT5B
P42684	ABL2
P06241	FYN
Q06187	BTK
Q92570	NR4A3
P41240	CSK
P54756	EPHA5
P54760	EPHB4
P11142	HSPA8
P07948	LYN
Q9NYL2	MAP3K20
P04626	ERBB2
Q9UBC3	DNMT3B
P27169	PON1
P40933	IL15
P49841	GSK3B
P29218	IMPA1
O14732	IMPA2
P13500	CCL2
Q9HAB3	SLC52A2
Q9BY41	HDAC8
O15379	HDAC3
Q9UBN7	HDAC6
P39023	RPL3
P30411	BDKRB2
Q04609	FOLH1
Q02763	TEK
Q16832	DDR2
P22607	FGFR3
P22455	FGFR4
P31639	SLC5A2
Q96LZ3	PPP3R2
Q9Y5K3	PCYT1B
Q54873	SP_0314
P24300	xylA
O75936	BBOX1
Q32P28	P3H1
P13674	P4HA1
Q6N063	OGFOD2
Q6NS38	ALKBH2
Q9NVH6	TMLHE
Q08828	ADCY1
O43741	PRKAB2
P54619	PRKAG1
Q969G6	RFK
P0AFU8	ribC
P30043	BLVRB
O60513	B4GALT4
Q9UJ70	NAGK
Q9UK23	NAGPA
Q06432	CACNG1
O60359	CACNG3
Q9UBN1	CACNG4
P62955	CACNG7
Q8WXS5	CACNG8
Q7Z3S7	CACNA2D4
Q02641	CACNB1
Q08289	CACNB2
P54284	CACNB3
P41439	FOLR3
Q9Y697	NFS1
Q8IUZ5	PHYKPL
Q9BTZ2	DHRS4
Q8NBN7	RDH13
Q6NUM9	RETSAT
Q9HBH5	RDH14
Q9NYR8	RDH8
Q9UDX3	SEC14L4
P62714	PPP2CB
P18825	ADRA2C
Q99870	VMAT2
P78334	GABRE
Q8N1C3	GABRG1
O00591	GABRP
Q693P7	CHRNA7
Q8TCU5	GRIN3A
O43193	MLNR
P20061	TCN1
P51160	PDE6C
Q13956	PDE6H
Q14500	KCNJ12
P30939	HTR1F
P43700	gyrA
P43702	parC
P56282	POLE2
P9WJI5	nat
P28566	HTR1E
P08912	CHRM5
Q8WXA8	HTR3C
Q70Z44	HTR3D
A5X5Y0	HTR3E
P47898	HTR5A
P10613	ERG11
Q16478	GRIK5
Q99829	CPNE1
Q9Y4R7	TTLL3
O00180	KCNK1
Q9Y257	KCNK6
P08909	Htr2c
Q9NYX4	CALY
P0DJD9	PGA5
P00720	E
P19099	CYP11B2
Q89ZI2	BT_4395
P0ABQ4	folA
H3BUU9	CDH11
Q8TET4	GANC
Q5T1J1	SIGMAR1
Q6V0L0	CYP26C1
P08149	penA
Q60FT7	pbp3
P53608	rocF
P0AES4	gyrA
P0C1U9	parC
Q59192	parE
P05653	gyrA
C3T8E2	mdtK
P20831	gyrA
P66010	trxB
P00582	polA
Q9UJT1	TUBD1
Q9UJT0	TUBE1
Q8N8R3	SLC25A29
Q9UKG9	CROT
P09210	GSTA2
Q8MU52	GST
O43519	RET
Q9F0I5	cft
Q96P88	GNRHR2
Q9Y691	KCNMB2
Q9NPA1	KCNMB3
Q92952	KCNN1
P02359	rpsG
P0AG59	rpsN
P0A7V3	rpsC
P0A7W7	rpsH
P0A7U3	rpsS
C9EH48	mdfA
Q969P6	TOP1MT
Q9UGI5	GAD65
P04293	UL30
P09252	ORF28
P03176	TK
Q51911	pab
P98066	TNFAIP6
P10696	ALPG
Q23022	unc-38
Q9N587	unc-63
Q27218	lev-1
P48181	unc-29
Q14181	POLA2
Q8WYK2	JDP2
Q9UP95	SLC12A4
Q9GZZ6	CHRNA10
Q9UGM1	CHRNA9
Q15825	CHRNA6
Q92806	KCNJ9
Q9Y2D0	CA5B
P23280	CA6
P21430	M
Q8TD08	MAPK15
P0A7X3	rpsI
P0A7V8	rpsD
P33402	GUCY1A2
P02585	TNNC2
P50859	ERG11
P12268	IMPDH2
P0A8V2	rpoB
Q4ZHU6	PDE4
Q92753	RORB
Q15391	P2RY14
O00398	P2RY10
Q16322	KCNA10
Q92953	KCNB2
Q9NSA2	KCND1
Q9UJ90	KCNE5
Q9H3M0	KCNF1
Q9UIX4	KCNG1
Q9UJ96	KCNG2
Q8TAE7	KCNG3
Q8TDN1	KCNG4
Q96KK3	KCNS1
Q6PIU1	KCNV1
Q72874	pol
P07098	LIPF
P12461	TMP1
Q7RTT9	SLC29A4
O95665	NTSR2
Q9UNX9	KCNJ14
Q93050	ATP6V0A1
P27449	ATP6V0C
Q99437	ATP6V0B
P21283	ATP6V1C1
Q8NEY4	ATP6V1C2
Q9Y5K8	ATP6V1D
P61421	ATP6V0D1
O15342	ATP6V0E1
Q96A05	ATP6V1E2
Q8NHE4	ATP6V0E2
Q16864	ATP6V1F
Q96LB4	ATP6V1G3
Q15904	ATP6AP1
O95298	NDUFC2
P78559	MAP1A
P07947	YES1
P09769	FGR
P42685	FRK
P33673	csn
P02918	mrcA
P02919	mrcB
P76577	pbpC
P0AD65	mrdA
P0AD68	ftsI
O67135	acuC1
P20276	rpl2
